actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.31447396,0.00013026822,44.695724,-0.004582558,0.0023855234,0.0049401233,9.822284,17.752384,17.759003,1.1352082,31.754862,1.6168761,32.77844,1.0,-0.02722492,-0.99999845,5000,0.73519266,1000,1000.0,1000,5,0.0,472.14059847475437,387.3932299218315,299.22562768962234,5,69.10577110295979,4.483493,0.07159715,-3.9645336,20000,0.8308265,1000,633.4666666666667,32,30,360.89321904900834,497.17571372538805,301.21916300073207,14.332740873098373,30,162.05804333546396,30.0,115.5518913269043,20000.0,1.0,115.5518913269043,20000.0,173.08241146325003,20000.0
0.40183097,3.075674e-08,166.0575,-0.004933681,0.0032146173,0.006262141,12.531203,17.77475,17.768078,1.340033,55.249393,1.9200097,55.35214,1.0,0.12732324,-1.0,5000,0.6899504,1000,1000.0,1000,5,0.0,693.9752587340772,550.1036510050296,492.54495257046074,5,73.46618400209947,4.5787597,0.07527216,-4.9959702,20000,1.0686402,1000,985.952380952381,705,21,62.82286222499409,623.5309767337458,451.5695901881235,245.4865671149455,21,109.18801875380206,51.0,162.2511899471283,20000.0,2.0,277.94686484336853,40000.0,123.2656599099043,40000.0
0.62507254,1.0652689e-05,334.35568,-0.005515831,0.0049899276,0.008190677,12.745875,17.763294,17.752968,1.2262934,58.4179,1.7600094,58.61133,1.0,0.07437338,-1.0,5000,0.7018784,1000,1000.0,1000,5,0.0,672.4625279372558,573.4583221521534,411.78263359470293,5,93.58794793103228,4.7492666,0.044260144,-4.2862377,20000,1.0599661,1000,1000.0,1000,20,0.0,693.9384009353817,581.5118538202514,356.03482139948756,20,87.09707072475746,71.0,161.5781991481781,20000.0,3.0,439.6765093803406,60000.0,123.77907480983033,60000.0
0.72221375,6.3873904e-07,497.5692,-0.0061477097,0.005777071,0.010128263,12.773367,17.725842,17.714064,1.2245643,62.811832,2.0360098,63.031944,1.0,-0.01895542,-1.0,5000,0.8160058,1000,1000.0,1000,5,0.0,744.3679275375325,683.2149814304779,566.0902517849754,5,61.50769701698552,4.600332,0.07587633,-4.1826015,20000,1.0543789,1000,1000.0,1000,20,0.0,738.8909177118912,640.7336675439728,379.1792750302702,20,79.58665411168279,91.0,161.0783200263977,20000.0,4.0,600.9081320762634,80000.0,124.16320207910275,80000.0
0.8211793,-1.9447223e-06,650.441,-0.0066207238,0.00657138,0.011824251,12.736253,17.694096,17.68158,1.2800707,66.77752,2.5863168,66.96537,1.0,-0.003406633,-1.0,5000,0.7427839,1000,1000.0,1000,5,0.0,788.814730187878,759.1170904338593,739.782280064188,5,18.745551405086697,4.973726,0.04977229,-4.0742865,20000,1.0608797,1000,1000.0,1000,20,0.0,797.4565148714464,725.0939651287765,620.7119486406446,20,57.072285588342716,111.0,160.81562757492065,20000.0,5.0,761.8793444633484,100000.0,124.36602276530877,100000.0
0.88515556,3.494625e-05,798.6453,-0.0068503143,0.0070462995,0.013239476,12.731452,17.669117,17.656103,1.2848238,70.589355,2.7902718,70.75878,1.0,-0.069254585,-1.0,5000,0.7387331,1000,1000.0,1000,5,0.0,940.7161717098206,850.9489059462037,755.366304378811,5,66.73832697965261,3.8806727,-0.013125345,-4.059519,20000,1.079856,1000,1000.0,1000,20,0.0,891.3018306372687,773.794040878916,585.7909477391222,20,87.61388337727844,131.0,159.86190462112427,20000.0,6.0,921.8972425460815,120000.0,125.1079802120485,120000.0
1.008752,-0.000719989,945.5891,-0.0072716027,0.008790004,0.014836316,12.723362,17.652655,17.63924,1.2822744,74.6488,2.8588095,74.82219,1.0,-0.04017772,-1.0,5000,0.79955405,1000,1000.0,1000,5,0.0,1069.123215753585,982.2242722534108,886.6077184532769,5,66.89005296001135,4.2426047,-0.025967658,-4.8583813,20000,1.0865787,1000,1000.0,1000,20,0.0,937.8470693615673,850.4763632230272,721.661694675684,20,61.603760574566294,151.0,159.51505994796753,20000.0,7.0,1081.5715217590332,140000.0,125.38001118216569,140000.0
5.853413,-0.0129732955,1088.3424,-0.008336883,0.0598006,0.017043622,12.68637,17.63052,17.618618,1.3732167,78.47219,3.2480192,78.60041,1.0,0.041949525,-1.0,5000,0.7402092,1000,1000.0,1000,5,0.0,1286.590591058135,954.2392487586476,752.7325558108278,5,181.06716912134758,4.3699713,0.010425169,-4.1310015,20000,1.0940901,1000,1000.0,1000,20,0.0,1136.6061087530106,896.3874242070888,721.6753553918097,20,128.71326552613272,171.0,159.56261801719666,20000.0,8.0,1241.2947857379913,160000.0,125.34264133122036,160000.0
4.999057,0.0051005427,1216.0806,-0.007990227,0.034891915,0.017718874,12.66833,17.616703,17.604574,1.4290378,81.558365,3.7477446,81.67134,1.0,0.023220144,-1.0,5000,0.78475136,1000,1000.0,1000,5,0.0,1095.9510746323504,980.1538434650981,908.7799554374069,5,68.67294279966018,4.1706724,0.048848674,-4.304776,20000,1.1164159,1000,1000.0,1000,20,0.0,1100.0923575237393,911.2838900694047,725.4878920798765,20,101.7746205135308,191.0,160.27562952041626,20000.0,9.0,1401.7293395996094,180000.0,124.78503475447187,180000.0
7.648774,-0.030028433,1350.7924,-0.009966607,0.09121863,0.020772945,12.659125,17.60719,17.594715,1.4170716,84.42156,3.8836973,84.56477,1.0,0.06474539,-1.0,5000,0.8221911,1000,1000.0,1000,5,0.0,1252.3586829267442,1217.590601247549,1196.9304356351495,5,20.609487968781387,4.360291,0.05785652,-4.2086825,20000,1.1106045,1000,1000.0,1000,20,0.0,1190.816410820058,1029.9503693842241,683.7752235755324,20,140.88969857601506,211.0,159.76642727851868,20000.0,10.0,1561.693412065506,200000.0,125.18274546588106,200000.0
12.035182,-0.0059029516,1483.6411,-0.009673422,0.10218441,0.02154255,12.644221,17.586716,17.574911,1.4199806,87.5083,4.054885,87.66478,1.0,0.07753091,-1.0,5000,0.8171166,1000,1000.0,1000,5,0.0,1585.663774995599,1451.1401167036033,1107.6263147834688,5,176.43946316846078,4.157312,0.0052709673,-4.0425935,20000,1.1292229,1000,1000.0,1000,20,0.0,1254.2881415709853,1033.9112431423505,833.6914869733155,20,129.52676264343935,231.0,160.74142169952393,20000.0,11.0,1722.6080601215363,220000.0,124.42343602874351,220000.0
9.776159,0.018657627,1602.007,-0.008764531,0.05955165,0.021580586,12.645422,17.58182,17.570446,1.4616591,90.31732,4.535343,90.46624,1.0,-0.044241283,-1.0,5000,0.8351715,1000,1000.0,1000,5,0.0,1634.1342609282583,1299.5077912265901,1038.6965217834804,5,226.3294052736056,4.5650797,0.02703357,-4.2747126,20000,1.1322306,1000,1000.0,1000,20,0.0,1367.376598325558,1067.637126660037,474.73294711392373,20,209.20039340523874,251.0,159.691978931427,20000.0,12.0,1882.4604558944702,240000.0,125.24110561988938,240000.0
5.8963733,-0.033213787,1725.5328,-0.010412642,0.08038477,0.024216905,12.633973,17.571516,17.558372,1.4883523,93.374214,4.8252425,93.4998,1.0,-0.017265482,-1.0,5000,0.8284844,1000,1000.0,1000,5,0.0,1526.825243331492,1286.4905364077306,1115.137061185087,5,194.63695033334702,4.370463,0.014611792,-4.315668,20000,1.1254536,1000,1000.0,1000,20,0.0,1427.0834667300805,1137.168353611193,794.9318374693394,20,172.8129390650281,271.0,159.45264267921448,20000.0,13.0,2042.073417186737,260000.0,125.4290908193716,260000.0
15.070552,-0.03806088,1863.505,-0.010844252,0.15862529,0.025752291,12.59439,17.552637,17.540693,1.4965515,96.4778,4.9931507,96.602806,1.0,0.012107483,-1.0,5000,0.84318364,1000,1000.0,1000,5,0.0,1521.3287845733576,1217.953708395292,729.7578808888793,5,291.66618038076666,4.4017057,0.029611865,-4.173542,20000,1.1216065,1000,1000.0,1000,20,0.0,1486.0691506367875,1203.2227551772696,1017.1960138110444,20,166.16283943587376,291.0,159.10027599334717,20000.0,14.0,2201.408275127411,280000.0,125.7068843855199,280000.0
19.028446,-0.00913013,1996.7942,-0.011256039,0.16135773,0.027230393,12.580127,17.539927,17.528187,1.525395,99.13743,5.5806136,99.248314,1.0,0.02029799,-1.0,5000,0.83526415,1000,1000.0,1000,5,0.0,1575.0850972123444,1392.8888086132938,1110.7029888621764,5,209.97651889481315,4.5616517,0.05215022,-4.216289,20000,1.1199689,1000,1000.0,1000,20,0.0,1479.6927606500685,1287.9141894471263,1013.3436732375994,20,165.10173502208326,311.0,159.58444476127625,20000.0,15.0,2361.150441646576,300000.0,125.3254979200396,300000.0
16.72449,0.02372715,2123.4412,-0.010314476,0.110068776,0.027302004,12.582871,17.530087,17.518856,1.5227578,102.08849,5.5304303,102.20617,1.0,0.011810303,-1.0,5000,0.85431665,1000,1000.0,1000,5,0.0,1618.9230823535472,1442.737389932829,1180.0703319637105,5,196.33797542494364,4.870143,0.0026384788,-4.4291487,20000,1.1235142,1000,1000.0,1000,20,0.0,1473.3518643453717,1248.8142604321924,1020.7289993297891,20,175.75952844622157,331.0,158.88326621055603,20000.0,16.0,2520.19734954834,320000.0,125.87858040062889,320000.0
7.568013,0.025542185,2227.1648,-0.0069084265,0.03500192,0.024725745,12.588422,17.52044,17.509813,1.5205102,104.673065,5.4146104,104.78761,1.0,0.007296805,-1.0,5000,0.855309,1000,1000.0,1000,5,0.0,1702.766407292569,1449.5747646281961,1151.485791850835,5,225.75905651599055,4.917613,-0.01550319,-4.125313,20000,1.1302495,1000,1000.0,1000,20,0.0,1521.1241271607578,1269.870147818519,1059.4068559892476,20,178.22627455932792,351.0,159.74422764778137,20000.0,17.0,2680.098079442978,340000.0,125.20014209275732,340000.0
0.00065865734,2.7848419e-06,2324.2288,-0.006421848,2.4844169e-06,0.02501568,12.5891285,17.5106,17.497429,1.5350409,107.41855,6.0898337,107.49179,1.0,0.03305476,-1.0,5000,0.85345536,1000,1000.0,1000,5,0.0,1762.9394358731806,1650.0669003166258,1250.778511303477,5,200.1285629810005,4.467281,-0.031528305,-4.347071,20000,1.1300105,1000,1000.0,1000,20,0.0,1530.6587639292702,1255.7993192379886,1046.121936301177,20,153.89298502986412,371.0,159.2074625492096,20000.0,18.0,2839.463358640671,360000.0,125.62225212161886,360000.0
3.5764544,-0.034693915,2428.602,-0.0094532175,0.06330555,0.028882034,12.578455,17.502611,17.487753,1.5595971,109.42207,6.759576,109.46144,1.0,0.004727301,-1.0,5000,0.84415406,1000,1000.0,1000,5,0.0,1771.4206415601075,1565.8223860405385,1266.381399275735,5,233.15434482157752,4.4626837,-0.036006454,-4.191034,20000,1.1249346,1000,1000.0,1000,20,0.0,1537.7047226061113,1187.9674904952058,414.9698601849377,20,302.8557669035708,391.0,159.44024991989136,20000.0,19.0,2999.06311917305,380000.0,125.4388400046333,380000.0
13.069272,-0.08384816,2541.1875,-0.012143825,0.18840234,0.03247333,12.554318,17.487505,17.473042,1.6350468,110.83482,9.38746,110.84857,1.0,-0.047678567,-1.0,5000,0.8463262,1000,1000.0,1000,5,0.0,1815.1084890291095,1600.1853526573627,1284.216893046163,5,245.92507464691857,4.523819,-0.030111298,-4.384,20000,1.1304473,1000,1000.0,1000,20,0.0,1543.7022273596376,1321.903267545646,1095.5655470129568,20,165.21382518252645,411.0,159.48985815048218,20000.0,20.0,3158.7155573368073,400000.0,125.39982311056771,400000.0
20.281311,-0.08052528,2659.3645,-0.013881174,0.24277578,0.03515609,12.542051,17.480227,17.4658,1.6249255,112.14431,9.011293,112.16769,1.0,-0.029644147,-1.0,5000,0.8452937,1000,1000.0,1000,5,0.0,1797.5402213195339,1653.231747319689,1267.8440942799207,5,196.21923094309952,4.218126,-0.040140904,-4.331752,20000,1.1270412,1000,1000.0,1000,20,0.0,1493.8500536605716,1238.704033773698,830.0485193497152,20,186.6603022401724,431.0,159.26955270767212,20000.0,21.0,3318.231648683548,420000.0,125.5732791358344,420000.0
25.502104,-0.05268072,2776.8894,-0.014532187,0.2566976,0.036747303,12.534276,17.4695,17.455385,1.6145371,112.867775,10.83876,112.910416,1.0,-0.02026087,-1.0,5000,0.84185225,1000,1000.0,1000,5,0.0,1880.5098529504612,1689.8258330740268,1236.7340617463924,5,233.71504023256574,4.315721,-0.053524055,-4.4279213,20000,1.132599,1000,1000.0,1000,20,0.0,1552.864745772793,1346.5195572650634,1074.8508348548785,20,178.93318724924006,451.0,160.03799533843994,20000.0,22.0,3478.426162958145,440000.0,124.97032318922173,440000.0
28.095135,-0.032330696,2888.5098,-0.015677167,0.2570918,0.03878525,12.539493,17.46239,17.448391,1.6480404,114.122314,13.669102,114.1697,1.0,-0.1583899,-1.0,5000,0.8356787,1000,1000.0,1000,5,0.0,1267.995909972582,1231.0332690368173,1195.2083410322666,5,24.53746979571418,4.797819,-0.053293444,-4.6081815,20000,1.1328858,1000,1000.0,1000,20,0.0,1607.9406782952137,1293.1141631091245,910.141186845256,20,232.4394018505136,471.0,159.63600373268127,20000.0,23.0,3638.2221994400024,460000.0,125.28502049882827,460000.0
29.056328,-0.0045685945,3001.0305,-0.01598898,0.23701921,0.039997224,12.534666,17.452852,17.439423,1.6506393,114.99722,13.323625,115.04611,1.0,-0.075317934,-1.0,5000,0.84793836,1000,1000.0,1000,5,0.0,1916.9126712447032,1600.7868402036838,1217.4052349091507,5,297.5335693251755,4.130833,-0.054734327,-4.346053,20000,1.1342466,1000,1000.0,1000,20,0.0,1607.0039852494374,1253.8958202517067,871.1276737973094,20,219.76322951983553,491.0,159.1255431175232,20000.0,24.0,3797.5094952583313,480000.0,125.68692372178658,480000.0
28.162838,0.020252634,3107.89,-0.015397082,0.20505007,0.0402602,12.530418,17.449066,17.43626,1.6472079,115.9079,12.94344,115.96545,1.0,-0.025198562,-1.0,5000,0.86349833,1000,1000.0,1000,5,0.0,2002.6911498866975,1964.6291483052578,1946.6772826611996,5,19.83605694904641,5.021119,-0.08509416,-4.021837,20000,1.1364173,1000,1000.0,1000,20,0.0,1549.8435666412115,1269.6473661341145,1055.9230377576314,20,185.47974275203026,511.0,159.8359112739563,20000.0,25.0,3957.504068374634,500000.0,125.12832592245373,500000.0
26.041708,0.031387016,3207.4778,-0.01602015,0.17694668,0.041679975,12.539529,17.441,17.428274,1.6236721,117.2847,10.820674,117.40251,1.0,-0.15131654,-1.0,5000,0.85049826,1000,1000.0,1000,5,0.0,1975.1487045306712,1512.6982971618186,1233.4117532614619,5,330.8831288004021,4.63284,-0.07005092,-4.4693117,20000,1.1353823,1000,1000.0,1000,20,0.0,1629.245058881119,1429.871175432671,1112.6245330870152,20,183.57950037106062,531.0,159.04333758354187,20000.0,26.0,4116.71063375473,520000.0,125.75188815749325,520000.0
22.087086,0.047690958,3307.0535,-0.01470582,0.12900576,0.04116225,12.543906,17.435856,17.424072,1.6692992,118.32521,14.193966,118.40691,1.0,-0.097956754,-1.0,5000,0.8606459,1000,1000.0,1000,5,0.0,1952.5296767242253,1634.4194532709196,1200.7383142388426,5,324.51898019631795,4.2597933,-0.1137392,-4.2371826,20000,1.1270587,1000,1000.0,1000,20,0.0,1692.5042742318474,1360.5838597993534,1103.3314341567457,20,205.87308793979943,551.0,159.5003263950348,20000.0,27.0,4276.3717222213745,540000.0,125.39159293295712,540000.0
16.380762,0.046690583,3400.9375,-0.013189402,0.08435553,0.040396903,12.550684,17.434431,17.423332,1.6668742,119.94785,15.4896145,119.99601,1.0,-0.10793286,-1.0,5000,0.8621897,1000,1000.0,1000,5,0.0,2021.1583062913269,1698.0585156738293,1219.3669757696334,5,378.85734149622203,4.3024387,-0.11061834,-4.211505,20000,1.1343203,1000,1000.0,1000,20,0.0,1650.4892510436475,1407.4260512027308,1171.36954148137,20,184.95229353423406,571.0,158.83545184135437,20000.0,28.0,4435.369147062302,560000.0,125.91647373519672,560000.0
6.492058,0.028962282,3472.1655,-0.007730538,0.022974182,0.035507865,12.554037,17.423943,17.414263,1.6709266,121.34809,17.270367,121.39624,1.0,-0.18592392,-1.0,5000,0.84318596,1000,1000.0,1000,5,0.0,1962.2707898166263,1396.3675637119,1206.6857606964186,5,284.60020742576245,4.3660398,-0.13058306,-4.0602794,20000,1.1346421,1000,1000.0,1000,20,0.0,1644.194001992233,1325.822832147099,1039.1727984291501,20,208.62136625985136,591.0,159.53648567199707,20000.0,29.0,4595.079521656036,580000.0,125.3631726670944,580000.0
0.00023571012,1.4855517e-06,3514.4863,-0.004980297,4.0012952e-07,0.033096187,12.551764,17.419863,17.40976,1.6956502,122.89045,18.54954,122.871025,1.0,-0.099624835,-1.0,5000,0.8616955,1000,1000.0,1000,5,0.0,2000.76359970856,1689.3587103592813,1196.2610817243694,5,361.89383021360135,4.3087277,-0.11780636,-4.822181,20000,1.1378622,1000,1000.0,1000,20,0.0,1699.4157145619392,1418.737275533343,1162.8925703344867,20,214.1792939646551,611.0,159.42930960655212,20000.0,30.0,4754.669075012207,600000.0,125.4474478335071,600000.0
5.8680865e-08,2.2816844e-10,3533.4175,-0.0022840893,2.412785e-10,0.030551428,12.544384,17.412598,17.402704,1.7000109,124.48135,21.3455,124.4296,1.0,-0.0644758,-1.0,5000,0.864258,1000,1000.0,1000,5,0.0,1982.9411139646545,1748.1769859636202,1142.8536804039031,5,317.14784819537385,4.2408648,-0.13573453,-4.361903,20000,1.1321254,1000,1000.0,1000,20,0.0,1709.4529630355537,1348.7255691416328,941.3344040680677,20,238.9312030206498,631.0,158.55775117874146,20000.0,31.0,4913.392292022705,620000.0,126.13700592570898,620000.0
3.4559513e-08,9.305729e-11,3528.098,-0.00052059296,1.834188e-10,0.028745377,12.539456,17.40084,17.390959,1.6873238,126.04204,16.592691,126.00401,1.0,-0.16775414,-1.0,5000,0.83750397,1000,1000.0,1000,5,0.0,2020.2290151482448,1448.5090609044769,1265.5273483856581,5,287.1596816943983,4.243009,-0.11067758,-3.951068,20000,1.1308395,1000,1000.0,1000,20,0.0,1761.6691353386268,1457.4346861979488,1115.5772289677989,20,234.3294426014012,651.0,158.20721435546875,20000.0,32.0,5071.760810136795,640000.0,126.41648537634251,640000.0
3.152571e-08,7.6771034e-11,3501.3608,0.0008420439,1.7543467e-10,0.027168844,12.534625,17.389599,17.379528,1.6909051,127.38528,20.809155,127.32328,1.0,-0.07113793,-1.0,5000,0.8620038,1000,1000.0,1000,5,0.0,2015.5773977469653,1873.8092240167782,1375.2657706290483,5,250.48132388526722,4.2585707,-0.13039286,-4.304085,20000,1.1339254,1000,1000.0,1000,20,0.0,1706.0863977358094,1460.9626649733254,1220.5061831846833,20,192.98364852761435,671.0,158.55118203163147,20000.0,33.0,5230.499195098877,660000.0,126.1422320775252,660000.0
3.0128813e-08,6.619693e-11,3459.8965,0.0018667885,1.7483359e-10,0.025812382,12.526683,17.377073,17.36679,1.7181265,128.33458,23.975164,128.26111,1.0,-0.08707606,-1.0,5000,0.86310244,1000,1000.0,1000,5,0.0,2109.5944060385227,1829.4709789637243,1415.2362251318991,5,336.5144689501436,4.4031606,-0.09362617,-4.2546463,20000,1.134028,1000,1000.0,1000,20,0.0,1728.6487559373782,1503.3172208288931,1224.6560225002468,20,186.20956137984447,691.0,159.13541102409363,20000.0,34.0,5389.791310071945,680000.0,125.67912993904251,680000.0
2.9355974e-08,6.118631e-11,3401.7087,0.0028187623,1.736615e-10,0.024394909,12.525056,17.377762,17.367283,1.7284608,129.81366,24.525452,129.72389,1.0,-0.0461404,-1.0,5000,0.87551045,1000,1000.0,1000,5,0.0,2133.2275020340458,1953.7722988984547,1358.786584070418,5,298.1214281760867,4.748851,-0.09727495,-4.5370984,20000,1.1337658,1000,1000.0,1000,20,0.0,1791.4225722180272,1524.8558745592004,1246.469484705478,20,197.844381894041,711.0,159.81346726417542,20000.0,35.0,5549.766761302948,700000.0,125.14589879299427,700000.0
