actor/clip_fraction,actor/entropy,actor/iterations,actor/kl,actor/loss,actor/std,actor/stop,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
0.16797256,8.347687,80.0,0.00628165,-0.027034348,0.6870128,0.0,80.0,51.32522,9.963078,2.9885516,0.09752792,-2.9373095,5000,0.7189087,1000,1000.0,1000,5,0.0,520.4916184376925,483.8335920511745,424.84551276639104,5,32.23954260124142,3.1198688,0.08654529,-2.9011965,20000,0.72087246,1000,485.9,23,40,351.9724278974136,583.7818366046995,240.1873363268729,3.4128550458699465,40,181.43694647768868,40.0,84.07986044883728,20000.0,1.0,84.07986044883728,20000.0,237.8690912810212,20000.0
0.18311113,8.262137,51.8,0.0081263585,-0.028499149,0.67973536,0.007722007722007722,80.0,19.563227,30.148487,2.9144647,0.1041068,-2.6870325,5000,0.7252512,1000,1000.0,1000,5,0.0,615.4498466390651,553.9124180550687,454.56506151962094,5,54.70486950463737,3.2409563,0.10030002,-3.4814293,20000,0.725123,1000,758.5384615384615,118,26,337.94858857629526,588.2505930713378,402.1631610240281,53.21845113672316,26,192.29764709602327,66.0,82.02905368804932,20000.0,2.0,166.20352602005005,40000.0,243.81605176208157,40000.0
0.1501144,8.174612,27.4,0.006614448,-0.02221563,0.67234635,0.029197080291970802,80.0,7.164223,45.860493,2.9820054,0.06342548,-2.5787816,3430,0.7106559,1000,686.0,289,5,315.94113375754034,627.2204285785556,374.4731257449836,133.74348225817084,5,202.18376245846122,3.0948946,0.10073915,-2.8946338,20000,0.7195026,1000,794.6,94,25,336.1515134578454,643.9741606754251,441.1321956479689,40.10293752606958,25,208.05552507773086,91.0,76.0348310470581,20000.0,3.0,242.31572771072388,60000.0,263.0373438670754,60000.0
0.18289621,8.055593,40.6,0.008171618,-0.029238654,0.6624335,0.014778325123152709,80.0,3.1352344,51.096054,3.0329058,0.11369278,-2.704615,4181,0.7165578,1000,836.2,464,5,215.97814704270428,598.9500639624894,475.76856910286006,227.6990428166464,5,134.05851907058627,3.0656447,0.07834126,-2.8917592,20000,0.70997304,1000,851.375,164,24,265.50405089502243,644.0445245001465,463.7449520726089,66.34724160656333,24,162.93675475789163,115.0,80.06506180763245,20000.0,4.0,322.46247935295105,80000.0,249.79684706985935,80000.0
0.07480093,8.020872,7.8,0.006251521,-0.0077299844,0.65959674,0.1282051282051282,80.0,2.4685311,54.261803,3.1570103,0.09054769,-2.7952223,5000,0.7124883,1000,1000.0,1000,5,0.0,630.5608543319395,616.0767447191989,599.0986261451617,5,10.73291115751716,3.11587,0.07203601,-3.1901608,20000,0.709032,1000,964.7619047619048,597,21,102.09281713547527,656.5176507644355,560.1105954368832,325.5792150879279,21,77.11392122810092,136.0,81.76578402519226,20000.0,5.0,404.3040244579315,100000.0,244.6010912564349,100000.0
0.11254112,7.923601,19.0,0.010002634,-0.016073227,0.6516682,0.05263157894736842,80.0,2.505871,56.017998,3.089476,0.08571056,-3.3235314,5000,0.7051953,1000,1000.0,1000,5,0.0,660.5113753471524,617.7160810765345,566.2857761078048,5,30.18840869035601,3.2845092,0.120027624,-3.268823,20000,0.71443576,1000,861.3478260869565,346,23,231.75223064367165,667.5579692535102,530.7261033922474,180.17944322526455,23,159.57626082558176,159.0,79.42191338539124,20000.0,6.0,483.8054347038269,120000.0,251.8196697547553,120000.0
0.14715447,7.790761,28.2,0.008540843,-0.021243142,0.6410017,0.028368794326241134,80.0,1.789245,61.723667,3.0464125,0.07123535,-2.9812274,5000,0.7124381,1000,1000.0,1000,5,0.0,678.9707332700491,649.4097937416285,601.5898995026946,5,29.49355970866271,3.188015,0.10968178,-3.2635362,20000,0.70591706,1000,986.5,730,20,58.84513573779909,674.6812094040215,632.6193867179448,481.7668820670806,20,38.77230204400504,179.0,82.58386278152466,20000.0,7.0,566.4758095741272,140000.0,242.17806392648325,140000.0
0.15194784,7.6748815,22.2,0.010384877,-0.027323876,0.63189757,0.036036036036036036,80.0,1.6187369,65.50869,2.8233802,0.036621984,-2.4430218,5000,0.70487887,1000,1000.0,1000,5,0.0,696.9306884575635,666.6800811987371,634.1800796464086,5,25.8659482402212,3.382785,0.077733226,-3.1187356,20000,0.7006914,1000,1000.0,1000,20,0.0,716.7459469279274,669.86878186916,624.7346243159845,20,20.561947463839456,199.0,79.6342236995697,20000.0,8.0,646.1887836456299,160000.0,251.14830120593075,160000.0
0.12916917,7.570724,16.25,0.008826298,-0.014990916,0.62376446,0.06153846153846154,80.0,1.6427243,66.0184,2.8673315,0.024686432,-3.277445,4703,0.69999665,1000,940.6,703,5,118.8,717.6406104303896,617.3547962197102,383.5901243588887,5,119.70777489081152,3.078895,0.03131599,-3.1232398,20000,0.7091549,1000,1000.0,1000,20,0.0,721.9106118865311,670.2187707738718,625.9545274935663,20,25.203757471851315,219.0,79.31646633148193,20000.0,9.0,725.594987154007,180000.0,252.15445070907919,180000.0
0.15042265,7.4633074,24.4,0.007610681,-0.025698015,0.6154426,0.03278688524590164,80.0,1.4863056,68.75277,3.0889735,0.030204752,-2.8804767,5000,0.7009635,1000,1000.0,1000,5,0.0,749.9436651924625,736.1950604263693,724.6191349597648,5,9.640970943028453,2.999626,0.025111679,-2.9581141,20000,0.70839643,1000,1000.0,1000,20,0.0,746.8438134184107,695.0705113259494,657.4700496643782,20,22.083246249046272,239.0,82.23452639579773,20000.0,10.0,807.9068825244904,200000.0,243.2068484682368,200000.0
0.18632898,7.294178,68.8,0.012086269,-0.031950936,0.6026967,0.0029069767441860465,80.0,1.3978516,70.90415,3.0214677,0.018750265,-2.8805163,5000,0.71621746,1000,1000.0,1000,5,0.0,741.0162169970572,727.1598919363227,706.05800903216,5,12.741871366547985,3.1857994,0.03742263,-2.9990728,20000,0.71237224,1000,1000.0,1000,20,0.0,759.496416207403,722.7728803153419,647.8496608566493,20,27.83284525092524,259.0,81.89660954475403,20000.0,11.0,889.893581867218,220000.0,244.2103538983577,220000.0
0.16568966,7.1246834,36.4,0.007286173,-0.027892547,0.5901348,0.016483516483516484,80.0,1.8021413,72.60721,2.9694011,0.0024782235,-3.5364914,5000,0.7089776,1000,1000.0,1000,5,0.0,791.8527559936047,752.3318100120872,725.2865371108055,5,23.319527729560434,3.5036132,0.0022465,-2.9887705,20000,0.71981055,1000,1000.0,1000,20,0.0,777.6087792185135,728.8501946358592,636.1188979670405,20,36.341717965543275,279.0,79.1225814819336,20000.0,12.0,969.1012263298035,240000.0,252.77233914020724,240000.0
0.16379459,7.035774,22.6,0.011007223,-0.029014837,0.5836031,0.04424778761061947,80.0,1.6015488,75.653854,2.7466762,-0.03370717,-2.8511097,5000,0.6990937,1000,1000.0,1000,5,0.0,786.0133441996295,763.1696683209855,748.4062274210155,5,13.83122881618437,3.0089927,-0.0041747214,-3.119249,20000,0.71409005,1000,1000.0,1000,20,0.0,802.0878259688616,760.64784432741,732.1890519075096,20,19.894841148919905,299.0,77.20469737052917,20000.0,13.0,1046.3886075019836,260000.0,259.0515950605159,260000.0
0.16726035,6.9115615,24.4,0.008990807,-0.028321872,0.57457316,0.03278688524590164,80.0,1.3590884,78.07972,3.000269,-0.02136609,-2.967162,5000,0.7097073,1000,1000.0,1000,5,0.0,820.8256243318319,805.9800184844993,800.9326841048896,5,7.557419991483608,3.0053632,-0.023204513,-3.075712,20000,0.71012074,1000,1000.0,1000,20,0.0,855.5263640899211,778.6944371263846,734.0815426874906,20,27.970435036704494,319.0,78.45130968093872,20000.0,14.0,1124.9098718166351,280000.0,254.93519587295546,280000.0
0.15221229,6.7928057,18.2,0.010578572,-0.024792735,0.5660758,0.054945054945054944,80.0,1.064424,80.34548,2.9877906,-0.06354138,-2.7209175,5000,0.70076567,1000,1000.0,1000,5,0.0,829.8122560679913,804.6263359034434,762.7589956671,5,26.77012815205493,3.1040616,-0.042059015,-3.1721334,20000,0.7044775,1000,1000.0,1000,20,0.0,847.1341949864291,805.2698323966121,764.0658343285322,20,22.62119634157143,339.0,78.00577783584595,20000.0,15.0,1202.9957370758057,300000.0,256.39126427388067,300000.0
0.17343435,6.623947,37.2,0.010402158,-0.028565643,0.554313,0.021505376344086023,80.0,0.85061234,81.62878,2.5449207,-0.038358476,-3.0056129,5000,0.694866,1000,1000.0,1000,5,0.0,829.3159633949399,814.2705319914967,796.6792144775391,5,11.755946323485041,2.8541152,-0.045440484,-3.2483459,20000,0.6993066,1000,1000.0,1000,20,0.0,852.3993160761893,810.2203609654796,744.6135398894548,20,28.128529916448965,359.0,77.6690411567688,20000.0,16.0,1280.8154850006104,320000.0,257.5028570216489,320000.0
0.121516444,6.4659686,13.4,0.00928057,-0.015611467,0.54355603,0.07462686567164178,80.0,0.7696969,82.40091,2.5306153,-0.05529154,-2.738863,5000,0.6759255,1000,1000.0,1000,5,0.0,850.969798438251,820.8196613086387,785.8492192924023,5,21.744797653490412,3.0334766,-0.050241362,-2.9940965,20000,0.6857381,1000,1000.0,1000,20,0.0,864.5298866089433,817.5675753373238,749.7041301876307,20,28.78720999691157,379.0,77.32047295570374,20000.0,17.0,1358.2098717689514,340000.0,258.6637049085025,340000.0
0.18131742,6.291035,44.0,0.008646085,-0.032394458,0.531866,0.011363636363636364,80.0,0.5449542,83.27898,2.9609048,-0.0134733645,-2.652692,5000,0.6716635,1000,1000.0,1000,5,0.0,855.3408957123756,817.6535081557929,781.3728018924594,5,24.731923540862034,3.087295,-0.040671647,-2.9556522,20000,0.6854986,1000,1000.0,1000,20,0.0,865.3397248126566,830.8082026598422,763.5037121921778,20,27.747254537743952,399.0,76.67121028900146,20000.0,18.0,1434.9565472602844,360000.0,260.8541057929408,360000.0
0.15767455,6.1493025,20.6,0.0074038557,-0.027750319,0.5226314,0.038834951456310676,80.0,0.50861377,84.267586,2.7780142,-0.057818547,-2.6227853,5000,0.65231776,1000,1000.0,1000,5,0.0,880.0698541067541,835.6048685312271,778.0199997276068,5,36.41910973922241,2.9111066,-0.025710443,-2.863359,20000,0.6612442,1000,1000.0,1000,20,0.0,877.7571700811386,835.7920683688484,779.9775727838278,20,29.33723212310361,419.0,79.20774960517883,20000.0,19.0,1514.2362914085388,380000.0,252.50054571292026,380000.0
0.16967227,5.989634,26.8,0.009999932,-0.028409148,0.51253873,0.029850746268656716,80.0,0.51288825,84.13344,2.4134011,-0.064404115,-2.4650416,5000,0.6431376,1000,1000.0,1000,5,0.0,880.4576557949185,871.8588599130511,860.7239881828427,5,8.44052514355313,2.8236368,-0.023198487,-2.8574548,20000,0.6564761,1000,1000.0,1000,20,0.0,872.6149570792913,842.2943845215137,790.4957905113697,20,22.212235722733794,439.0,77.14977359771729,20000.0,20.0,1591.4728825092316,400000.0,259.2360167417492,400000.0
0.1574707,5.8561373,24.2,0.011263808,-0.026125725,0.5042719,0.03305785123966942,80.0,0.4578045,86.0729,2.4858627,0.027358402,-2.4986467,5000,0.6317136,1000,1000.0,1000,5,0.0,885.0065859407187,857.4961019344628,821.4409178644419,5,24.393928045119882,2.8653398,-0.04745553,-3.0173447,20000,0.6463032,1000,1000.0,1000,20,0.0,891.1439880188555,860.2801118304254,806.0936957150698,20,22.970982021633017,459.0,77.90317010879517,20000.0,21.0,1669.45600771904,420000.0,256.72896201873596,420000.0
0.1578243,5.724059,17.4,0.010165188,-0.022104505,0.49623647,0.05747126436781609,80.0,0.42817363,86.71443,2.680618,-0.012958783,-2.4261816,5000,0.64764667,1000,1000.0,1000,5,0.0,910.8056944459677,866.3568395756186,809.877025142312,5,40.54412360857253,2.599018,-0.014524981,-2.6721923,20000,0.6335812,1000,1000.0,1000,20,0.0,892.4946141690016,864.6154454891105,820.5054709166288,20,18.152881173042662,479.0,77.50637125968933,20000.0,22.0,1747.0377190113068,440000.0,258.0433024401169,440000.0
0.14028178,5.5930295,13.8,0.009851491,-0.018844903,0.4882917,0.07246376811594203,80.0,0.3574314,88.480156,2.6790862,-0.026715882,-2.4548244,5000,0.63107693,1000,1000.0,1000,5,0.0,898.7467886507511,877.5866777007002,831.8167810607702,5,23.577484468016916,2.7214823,-0.013328698,-2.7917426,20000,0.6250584,1000,1000.0,1000,20,0.0,915.5845187753439,880.0095730436035,828.0477392412722,20,21.59976422200189,499.0,77.86366558074951,20000.0,23.0,1824.9818060398102,460000.0,256.85921476762155,460000.0
0.18059266,5.3799853,42.4,0.008306081,-0.03093587,0.47579,0.014150943396226415,80.0,0.4102056,89.50412,2.581366,-0.014208603,-3.0042386,5000,0.60025287,1000,1000.0,1000,5,0.0,914.5997302681208,901.3130991581827,890.0866973549128,5,7.826409491832111,2.6726327,-0.034664243,-2.664366,20000,0.616316,1000,1000.0,1000,20,0.0,910.892152145505,884.3838666994474,844.2610286176205,20,18.606751157998556,519.0,79.05552816390991,20000.0,24.0,1904.1238791942596,480000.0,252.98673558328477,480000.0
0.097373046,5.2370477,10.0,0.008601811,-0.011347831,0.4676864,0.1,80.0,0.33489177,89.99344,2.7595923,-0.048461113,-2.7363052,5000,0.6079973,1000,1000.0,1000,5,0.0,904.4505026191473,894.5029714018107,875.747601620853,5,10.367813260689157,2.8037677,-0.027155502,-2.6042619,20000,0.61625206,1000,1000.0,1000,20,0.0,922.6147381770425,891.9115731263475,827.6797280460596,20,22.580633591565565,539.0,78.28576803207397,20000.0,25.0,1982.4886722564697,500000.0,255.47427716115558,500000.0
0.14816463,5.121979,17.0,0.010592406,-0.021544363,0.46108633,0.058823529411764705,80.0,0.39183322,89.79504,2.4025173,-0.034404125,-2.7038803,5000,0.5861532,1000,1000.0,1000,5,0.0,917.776817932725,904.0886297538876,896.0306878983974,5,7.653865533911546,2.6066058,-0.03580136,-2.6368206,20000,0.60114187,1000,1000.0,1000,20,0.0,919.1547840312123,885.2427019460126,838.9543519504368,20,16.730945192110983,559.0,77.12034106254578,20000.0,26.0,2059.684586048126,520000.0,259.33495267843404,520000.0
0.15716268,5.0096345,21.4,0.008498696,-0.02453865,0.45457602,0.037383177570093455,80.0,0.39579773,90.02117,2.0376847,-0.10045226,-2.5977693,5000,0.6002367,1000,1000.0,1000,5,0.0,907.6447153091431,880.6329776320606,850.4018990267068,5,19.386810605813096,2.634535,-0.05372178,-2.6316507,20000,0.5918199,1000,1000.0,1000,20,0.0,918.2819868922234,899.2524506121408,866.56184245646,20,13.975195863089843,579.0,79.68650984764099,20000.0,27.0,2139.445058822632,540000.0,250.98351073775973,540000.0
0.15809216,4.9017515,19.8,0.009712579,-0.026486142,0.44854608,0.050505050505050504,80.0,0.2741709,91.0936,2.4269247,-0.05936975,-2.5937285,5000,0.58760345,1000,1000.0,1000,5,0.0,920.5267194770277,909.5796196002514,886.4194273483008,5,12.473549206868515,2.475038,-0.0192631,-2.6303916,20000,0.5923358,1000,1000.0,1000,20,0.0,925.1563482582569,904.6278812139877,873.8619962781668,20,14.20730311379906,599.0,77.45862102508545,20000.0,28.0,2216.9904034137726,560000.0,258.20237612444555,560000.0
0.17938808,4.7610054,21.2,0.010762088,-0.026585983,0.4408236,0.03773584905660377,80.0,0.29553455,91.50834,2.1785977,-0.049653575,-2.4084892,5000,0.5710943,1000,1000.0,1000,5,0.0,923.1151928380132,913.4148152880371,893.585130982101,5,10.252279147423287,2.7346182,-0.032876056,-2.3965364,20000,0.5866343,1000,1000.0,1000,20,0.0,930.1135354340076,907.9087020622101,878.5076689273119,20,13.09852582919604,619.0,78.40669202804565,20000.0,29.0,2295.4694933891296,580000.0,255.08026780221905,580000.0
0.16888882,4.6379933,24.2,0.0100138225,-0.025767574,0.4341825,0.03305785123966942,80.0,0.29574916,91.938194,2.6199064,-0.033858214,-2.5813947,5000,0.58367753,1000,1000.0,1000,5,0.0,921.0380950644612,915.8798577644862,910.211196526885,5,3.744094771505415,2.5279756,0.0074321562,-2.5232687,20000,0.5939882,1000,1000.0,1000,20,0.0,929.083148194477,911.8596953497123,886.8926490694284,20,10.203917202796045,639.0,77.62471795082092,20000.0,30.0,2373.183158636093,600000.0,257.6498894678237,600000.0
0.08164535,4.5463457,6.2,0.0071601267,-0.006912813,0.4291816,0.16129032258064516,80.0,0.327534,91.8862,2.3033128,-0.00060672057,-2.6618788,5000,0.5850479,1000,1000.0,1000,5,0.0,933.0790693163872,921.2870382510125,891.1205693744123,5,15.508041412625655,2.496623,-0.04228529,-2.4034717,20000,0.57488614,1000,1000.0,1000,20,0.0,947.6266552507877,916.1903793188743,836.1408764570951,20,21.8103996868901,659.0,78.53522753715515,20000.0,31.0,2451.801768541336,620000.0,254.66278798947855,620000.0
0.18055701,4.387693,37.4,0.011131757,-0.029846497,0.42083463,0.016042780748663103,80.0,0.3177171,92.825264,2.1609674,-0.03610645,-2.2502556,5000,0.5618845,1000,1000.0,1000,5,0.0,953.8927330225706,933.6438065752387,911.4355890080333,5,13.935719456843463,2.6254969,-0.044046935,-2.308583,20000,0.57701653,1000,1000.0,1000,20,0.0,949.5728409290314,922.7475991349668,843.7213272452354,20,21.941334131448077,679.0,77.8890323638916,20000.0,32.0,2529.768872976303,640000.0,256.77556124412394,640000.0
0.121308595,4.267047,10.0,0.008147696,-0.01217891,0.41466892,0.1,80.0,0.31251577,93.11335,2.453342,-0.014634021,-2.3001823,5000,0.57420504,1000,1000.0,1000,5,0.0,979.206999938935,931.8633880897426,886.5941660474055,5,30.244673794206378,2.569456,-0.05203067,-2.3429673,20000,0.56971574,1000,1000.0,1000,20,0.0,962.7444380819798,924.512624927255,888.3636051267385,20,20.538369251987508,699.0,78.07868671417236,20000.0,33.0,2607.9328076839447,660000.0,256.15184939284745,660000.0
0.18850946,4.149358,28.2,0.010544347,-0.02898278,0.4086833,0.028368794326241134,80.0,0.33836964,94.22816,2.2208986,-0.061605815,-2.1752882,5000,0.5718962,1000,1000.0,1000,5,0.0,956.5686063896865,932.0941114272922,907.3760519623756,5,15.828896510589177,2.4120586,-0.039048582,-2.5983636,20000,0.5681571,1000,1000.0,1000,20,0.0,978.0536085665226,934.1213434361853,896.9082450401038,20,25.188171616548843,719.0,78.45083332061768,20000.0,34.0,2686.4632346630096,680000.0,254.93674386176082,680000.0
0.10986328,4.0554514,8.25,0.008108511,-0.010960526,0.404059,0.12121212121212122,80.0,0.4077963,95.02688,2.3317432,0.009124234,-2.1889873,5000,0.5782648,1000,1000.0,1000,5,0.0,983.8460671305656,958.6599862549454,912.8016193732619,5,28.373235688159937,2.5591881,0.0006115574,-2.2940235,20000,0.57251763,1000,1000.0,1000,20,0.0,987.9449982270598,942.1336720310617,881.6818868555129,20,32.78042751432099,739.0,76.1350827217102,20000.0,35.0,2762.680060148239,700000.0,262.69098666516487,700000.0
0.18176492,3.9690533,22.0,0.008987243,-0.030278826,0.39980733,0.03636363636363636,80.0,0.38218644,94.86957,2.2409132,-0.026623532,-2.1692176,5000,0.56091946,1000,1000.0,1000,5,0.0,982.901925124228,953.5812854539603,913.2590835504234,5,23.390485112133597,2.6677234,-0.0011590173,-2.3358345,20000,0.56449705,1000,1000.0,1000,20,0.0,999.9738269895315,938.740854733903,896.3555561006069,20,31.401963798347968,759.0,78.68308782577515,20000.0,36.0,2841.44384431839,720000.0,254.1842288178269,720000.0
0.19926505,3.7736866,46.4,0.009673683,-0.035547916,0.39036506,0.01293103448275862,80.0,0.3196978,94.79273,2.2461586,-0.017358312,-2.1568444,5000,0.54317623,1000,1000.0,1000,5,0.0,1011.1642660573125,967.5521766468883,925.9866903573275,5,27.22215937196089,2.6251457,-0.011509581,-2.3747113,20000,0.5529916,1000,1000.0,1000,20,0.0,1022.0014252960682,950.178352670325,884.8134850536007,20,35.864690060638196,779.0,78.56219458580017,20000.0,37.0,2920.0902688503265,740000.0,254.57537312246782,740000.0
0.16278416,3.5778618,14.4,0.010979529,-0.02060342,0.3811243,0.06944444444444445,80.0,0.562702,98.12883,2.578669,0.024350313,-2.0977893,5000,0.5705147,1000,1000.0,1000,5,0.0,1023.6566752493382,983.1186783730984,955.7207007855177,5,22.78558133227615,2.826167,0.025012081,-2.2086449,20000,0.5535044,1000,1000.0,1000,20,0.0,1025.046478871256,972.3353327250188,886.2133816555142,20,39.80252213222385,799.0,78.19029092788696,20000.0,38.0,2998.3649990558624,760000.0,255.78623333740404,760000.0
0.10491388,3.5057747,6.6,0.007547485,-0.00819001,0.37769416,0.15151515151515152,80.0,0.4912261,97.5684,2.4797313,0.03503785,-2.0219939,5000,0.5551251,1000,1000.0,1000,5,0.0,1039.8253267258406,1024.2840374149382,1005.1907778084278,5,11.062955715367073,2.4211502,-0.0076167267,-2.279244,20000,0.5384692,1000,1000.0,1000,20,0.0,1062.0695727169514,979.1547175358457,907.2293659681454,20,44.17780350661564,819.0,79.11026763916016,20000.0,39.0,3077.5565729141235,780000.0,252.81168420797826,780000.0
0.10170611,3.45443,6.8,0.007624657,-0.008741405,0.37522838,0.14705882352941177,80.0,0.6348554,99.35785,2.428074,0.021401515,-2.1385388,5000,0.54577875,1000,1000.0,1000,5,0.0,1031.1368063092232,991.2549573235214,934.0535514727235,5,31.901551768519465,2.342669,-0.011962318,-2.3640254,20000,0.53811336,1000,1000.0,1000,20,0.0,1068.7024950683117,993.2216637718724,896.6339839100838,20,59.66980638742734,839.0,77.01913380622864,20000.0,40.0,3154.6449596881866,800000.0,259.6757326603766,800000.0
0.106147766,3.4121752,6.4,0.007489682,-0.008149504,0.37321323,0.15625,80.0,0.9486344,101.30779,2.2710586,0.021737846,-1.9866339,5000,0.5582127,1000,1000.0,1000,5,0.0,1080.6335880160332,1018.997221038118,877.7036963868886,5,76.1129562536125,2.523676,0.0014646896,-2.2876756,20000,0.539703,1000,1000.0,1000,20,0.0,1088.5842019841075,1008.894232997665,899.4921071603894,20,62.388460112870014,859.0,78.04128527641296,20000.0,41.0,3232.757199048996,820000.0,256.2746106648856,820000.0
